Company,Country,Pavilion,Website,Activity (1 line),Products,Product categories (filters),Services,Service categories (filters),Target customers,Technologies,Technology categories (filters),Why target,Score,Source
DroneShield,Australia,,https://www.droneshield.com/,"Designs and manufactures counter-drone systems (RF detection, neutralization, jamming).",counter-drone systems · anti-drone RF detectors · C-UAS neutralization modules,Systèmes anti-drone (C-UAS) · Drones aériens (UAV),training · cloud / data services · distribution / representation · systems integration,Formation & entraînement · Services cloud & data · Distribution & représentation · Intégration de systèmes,"MoD / Armed Forces, Civil security, Export / international",RF / microwave · electronic warfare · drone detection,Communications RF / micro-ondes · Guerre électronique (EW),"Competitor in the counter-drone segment — partner for event protection integrators, critical infrastructure, and military bases.",100,high
Electro Optic Systems,Australia,,https://www.eos-aus.com/,"Designs and manufactures counter-drone systems (RF detection, neutralization, jamming).",Counter-drone systems · RF anti-drone detectors · C-UAS neutralization modules,Systèmes anti-drone (C-UAS) · Drones aériens (UAV),Systems integration,Intégration de systèmes,"MoD / Armed Forces, Civil security, Export / international",RF / microwave · Electronic warfare · Drone detection,Communications RF / micro-ondes · Guerre électronique (EW),"Competitor in the counter-drone segment — partner for integrators protecting events, critical infrastructure, and military bases.",100,medium
W&E PLATT PTY LTD,Australia,,https://www.plattmounts.com/,"Designs and manufactures turrets and weapon mounts for military vehicles and naval vessels (Land Mounts, Marine Mounts, MR550).",Land mounts for armored vehicles · Marine mounts for naval vessels · Ordnance systems · Test and evaluation mechanisms,Pièces mécaniques & usinage,On-site installation · Integrated logistics support (ILS) · Prototyping and testing · Assembly and disassembly (training),Intégration de systèmes · MCO / MRO · Formation & entraînement,"MoD / Armed Forces, Prime defense contractors, Defense industrialists",Precision mechanical systems · Military ordnance,Autre — à qualifier,Specialized weapon mount manufacturer exported to 40+ countries — potential partner for European primes seeking turret integrators and critical ordnance systems.,100,manual
AIRBORNE TECHNOLOGIES GMBH,Austria,,https://www.airbornetechnologies.at/,Integrates and qualifies special-mission ISR surveillance aircraft for armed forces and security agencies.,equipped ISR airborne platform · SCAR-Pod pod · Airborne LINX system · Mission Management System · carbon radomes · camera lifts,Radars & traitement signal · Matériaux composites & blindage,airframe sensor integration · EASA / military certification · crew training · fleet modernisation,Intégration de systèmes · Certification & tests · Formation & entraînement · Modernisation de flottes,"MoD / Armed Forces, Civil security, Export / international",carbon composites · RF / microwave · Lidar / Laser · EO/IR sensor integration,Matériaux composites · Communications RF / micro-ondes · Lidar / Laser,"Potential integrator for optronic turrets, surveillance radars, and data links — buyer of EO/IR sensors and mission systems.",100,manual
AUSTRIAN DEFENCE & SECURITY INDUSTRY GROUP,Austria,,https://www.wko.at/asw,"Designs and manufactures optronic systems, optical sights and thermal imaging modules.",optronic systems · optical sights · thermal imaging modules,Optronique & viseurs (EO/IR) · Optiques d'armes (viseurs),engineering / consultancy,Ingénierie & conseil,MoD / Armed Forces,thermal imaging · precision optics,Imagerie infrarouge · Optique de précision,Competitor in optronic systems — potential target for the sale of complementary sub-systems or associated services.,100,low
Blaschke J.,Austria,,http://www.blaschke.com/,"Designs and manufactures CBRN equipment (detection, protection, decontamination).",CBRN masks · CBRN suits · gas detectors · NBC filters,"NRBC (masques, tenues, détecteurs) · Cybersécurité (logiciels & appliances)",,,"MoD / Armed Forces, Civil security, Export / international",CBRN filtration,Filtration NRBC,Competitor in the CBRN market — partner for armed forces seeking CBRN sovereignty.,100,medium
BOOXit,Austria,,https://www.booxit.at/,Develops an IoT and circular logistics ecosystem to optimise supply chains.,IoT-connected lockers · logistics management software platform · asset tracking modules,"Logistique militaire & transport · Conteneurs, malles, shelters",IoT integration into the supply chain · asset management in circular logistics,Logistique militaire & transit · Intégration de systèmes,"MoD / Armed Forces, Defence industrials",IoT · connected sensors · cloud platform,Capteurs IoT industriels · Cloud & cloud souverain,"Potential partner for connected military logistics and asset management (equipment, spare parts) in a circular loop.",100,manual
Carinthia - Goldeck Textil,Austria,,http://www.carinthia.eu/,"Designs and manufactures military batteries, energy packs for drones, and energy management modules for armed forces.",military batteries · drone energy packs · energy management modules · batteries / energy sources · small-caliber ammunition · medium-caliber ammunition · primers and fuzes,Batteries & packs énergétiques · Groupes électrogènes & énergie tactique · Explosifs & matériaux énergétiques,,,MoD / Armed Forces,portable energy · energetic materials,Matériaux énergétiques,Competitor in military batteries — potential target for the sale of complementary sub-systems or associated services.,100,high
Dr. Bohrer Lasertec GmbH,Austria,,www.sert.fr,"Designs and manufactures industrial laser systems for machining, marking, and defense applications.",laser marking systems · laser cutting machines · industrial laser modules,Pièces mécaniques & usinage,production line integration · laser MRO,Intégration de systèmes · MCO / MRO,"Defense manufacturers, Defense primes",industrial lasers,Lidar / Laser,Austrian industrial laser supplier — partner for high-precision aerospace/defense component manufacturing.,100,manual
Frequentis AG,Austria,,https://www.frequentis.com/,Develops critical voice communications and air traffic management solutions (civil and military) via a digitalized control center.,Airport SUITE · MosaiX · Unified Aeronautical Communications · Advanced automated tower · Remote Digital Tower · UTM (Uncrewed Traffic Management),"Mâts, signalisation & balisage",Control center management · Military command and control support · Secure communications integration · Traffic recording and monitoring,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Defense prime contractors, Defense manufacturers",Critical digital communications · Automated traffic management (ATM/UTM) · Integrated digital platform,Autre — à qualifier,Established supplier of command-and-control solutions for aeronautical and military authorities — partnership or co-selling opportunities in defense/public safety segments.,100,manual
HIRTENBERGER DEFENCE EUROPE GMBH,Austria,,https://hds.hirtenberger.com/,"Manufactures complete mortar systems (60mm, 81mm, 120mm) and corresponding ammunition for armies and special forces.",60mm mortar systems · 81mm mortar systems · 120mm mortar systems · Mortar ammunition · Sighting and aiming systems · Auxiliary field equipment,Optronique & viseurs (EO/IR),Manufacturing · Systems integration,Intégration de systèmes,"MoD / Armed Forces, Defense primes",Ballistics & weapon systems,Autre — à qualifier,Prime manufacturer of complete weapon systems (mortars + synchronized ammunition) — direct counterpart for army tenders and defense industrial partnerships.,100,manual
MAGNA POWERTRAIN,Austria,,https://engineering.mpt.magna.com/,"Designs and validates complete engineering for military and off-road vehicles: drivetrains (BEV, hybrid, ICE), chassis, and powertrain simulation.",Hybrid and electric drivetrains · Modular chassis systems · Powertrain and vehicle simulation software,Autre — à qualifier,Complete vehicle engineering · Testing and validation · Simulation and modeling,Ingénierie & conseil,"Defense primes, Defense industrials",Digital simulation · Alternative propulsion (BEV/hybrid),Navigation inertielle · Simulation & VR/AR,"Development-phase engineering partner for drivetrain modernization (electrification, hybridization) of military and off-road vehicles.",100,manual
NEUMAN ALUMINIUM FLIESSPRESSWERK GMBH,Austria,,http://www.neuman.at/technology/impact-extrusion,Designs and manufactures aluminum and copper components via impact extrusion for defense.,training simulators · VR training modules · tactical scenario platforms,Simulateurs d'entraînement & VR/AR · Munitions petit/moyen calibre · Pièces mécaniques & usinage,certification / testing · training,Certification & tests · Formation & entraînement,"MoD / Armed Forces, Civil security, Defense primes, Export / international",simulation · virtual reality,Navigation inertielle · Simulation & VR/AR,Simulation/training competitor — partner for military schools and OPEX training centers.,100,high
PHOTONIC OPTISCHE GERÄTE GMBH & CO KG,Austria,,http://www.photonic-defence.at/,"Designs and manufactures specialized optics for observation, aiming, and calibration in defense environments.",Optical aiming systems for grenade launchers · Ballistic calibration systems · Military observation optics · Optomechanical products,Optronique & viseurs (EO/IR) · Pièces mécaniques & usinage,Engineering & consulting · Short-run manufacturing and prototyping · Training & maintenance · Distribution & representation,Ingénierie & conseil · Formation & entraînement,"MoD / Armed Forces, Defense primes, Defense manufacturers",Optronics (EO/IR) · Precision mechanics,Autre — à qualifier,"Austrian defense optronics specialist with MIL/ISO certification — full system supplier for military equipment, likely EN9100 qualified.",100,manual
PIK-AS AUSTRIA GMBH,Austria,,http://www.pikas.at/,"Manufactures STANAG military connectors, Gigavac high-voltage relays, and electrical systems for armoured and specialized vehicles.",STANAG 4074 connectors (2/12/15 poles) · Gigavac high-voltage relays (12–1500 VDC) · Vehicle lighting systems (Rincon Power) · Battery disconnect switches · Wiring and electrical marking,Autre — à qualifier,Component distribution · Electrotechnical subcontracting · Harness integration · Technical support,Sous-traitance industrielle · Distribution & représentation,"Defence prime contractors, Defence industrials, Military vehicle OEMs",High-voltage electrotechnology · Standardized military connectors,Autre — à qualifier,"Austrian supplier of critical electrical components (connectors, relays) for armoured and tactical vehicles — subcontracting partner for European defence OEMs.",100,manual
PLANSEE & CERATIZIT,Austria,,http://www.plansee.com/,"Designs and manufactures tungsten and molybdenum components (Plansee) for defence applications (ammunition, kinetic armour).",Tungsten kinetic penetrators · High-temperature molybdenum components · Carbide cutting tools,Munitions petit/moyen calibre,OEM supply · Application engineering,Sous-traitance industrielle · Ingénierie & conseil,"Defence prime contractors, Defence industrials, Export / international",Special metallurgy,Autre — à qualifier,"Global leader in tungsten/molybdenum (Plansee) — Tier-1 supplier for large-calibre ammunition manufacturers (KMW, Nexter, Rheinmetall).",100,manual
